gamma;family;category;brand;reference;ean13;stock;description;details;wholesale_price;image;energy_class_png;energy_class_string
Frio;"Frigorificos 1 Porta";"Frigorificos 1p Cooler 140-149cm";Orima;071501;5603883210969;2;"Frigorifico Orima ORHF-290-W";"Capacidade bruta total: 246 L<br />  Capacidade net do frigorífico: 240 L<br />  Porta reversível<br />  Prateleira em vidro<br />  Luz interior<br />  Descongelação automática<br />  Gavetas para frutos e vegetais<br />  Nível de ruído: 42 dB<br />  Consumo anual de energia: 128 Kwh<br />  Dimensões: A1420xL550xP580mm<br />  Classificação energética: A+<br />  <br />  Disponível nas cores: branco e Inox<br />  <br />  Possibilidade de Side by Side com Congelador ORHC 210<br />  <br />  <br />  <br />  ";144,08;https://www.orima.pt/backoffice/img/front/prods/5603883210969/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883210969/5603883210969.png;A+
Frio;"Frigorificos 2 Portas";"Frigorificos 2p 140-149cm";Orima;071507;5603883211454;2;"Frigorifico Orima ORH-281-W";"Capacidade bruta total: 206 L<br />  Capacidade net do frigorífico: 169 L<br />  Capacidade net do congelador.: 37 L<br />  Portas reversíveis<br />  Descongelação automática<br />  Prateleiras em vidro<br />  2 Gavetas para frutos e vegetais<br />  Congelador com prateleira em grelha<br />  Capacidade de congelação: 2,4Kg/24h<br />  Nível Ruído: 40 dB<br />  Consumo anual de energia. 215 kWh<br />  Classificação energética: F<br />  Dimensões: A1430xL550xP580 mm<br />  <br />  Disponível nas cores: branco e Inox<br />  <br />  <br />  <br />  <br />  ";135,64;https://www.orima.pt/backoffice/img/front/prods/5603883211454/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883211454/5603883211454.png;F
Frio;"Frigorificos 2 Portas";"Frigorificos 2p 140-149cm";Orima;071508;5603883211461;2;"Frigorifico Orima ORH-281-X";"Capacidade bruta total: 206 L<br />  Capacidade net do frigorífico: 169 L<br />  Capacidade net do congelador.: 37 L<br />  Portas reversíveis<br />  Descongelação automática<br />  Prateleiras em vidro<br />  2 Gavetas para frutos e vegetais<br />  Congelador com prateleira em grelha<br />  Capacidade de congelação: 2,4Kg/24h<br />  Nível Ruído: 40 dB<br />  Consumo anual de energia. 215 kWh<br />  Classificação energética: F<br />  Dimensões: A1430xL550xP580 mm<br />  <br />  Disponível nas cores: branco e Inox<br />  <br />  <br />  <br />  <br />  ";148,28;https://www.orima.pt/backoffice/img/front/prods/5603883211461/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883211461/5603883211461.png;F
Encastre;Exaustores;"Exaustores Gaveta";Orima;271360;5603883210914;2;"Exaustor Orima OR-7005-G";"Exaustor telescópico de 60 cm<br />  Potência de sucção: 400 m3/h<br />  2 motores<br />  Potência do motor: 2 x 110 W <br />  Filtros metálicos laváveis<br />  3 níveis de potência <br />  1 lâmpada de 5 W<br />  Painel frontal em inox<br />  Nível de ruído máximo: 65 dB<br />  Evacuação exterior<br />  Classe energética: D<br />  Dimensões: A172xL600xP320 mm<br />  Medidas de encastre:A130xL500xP280<br />  <br />  ";40,25;https://www.orima.pt/backoffice/img/front/prods/5603883210914/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883210914/5603883210914.png;D
Encastre;Exaustores;"Exaustores Tradicionais";Orima;271362;5603883211133;2;"Exaustor Orima ORT-6018";"Exaustor Tradicional de 60 cm<br />  Potência de sucção: 170 m3/h <br />  Potência Nominal: 81.5 W<br />  Saída de ar: 120 mm<br />  1 motor: 80 Kw<br />  Potência do motor: 1x80 W<br />  Filtro de alumínio lavável<br />  2 níveis de potência<br />  Lâmpada LED 1x 1.5 W<br />  Nível de ruído: 61 dB<br />  Evacuação exterior<br />  Classificação Energética: C<br />  Consumo: 43 Kwh/Ano<br />  Dimensões Produto: A105xL600xP480 mm<br />  Dimensões Embalagem: A145xL640xP540 mm<br />  Inox<br />  <br />  ";29,32;https://www.orima.pt/backoffice/img/front/prods/5603883211133/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883211133/5603883211133.png;C
Encastre;Chamines;"Chamines 60cm";Orima;271364;5603883211164;2;"Chamine Orima ORC-60630-T";"Chaminé Decorativa de 60 cm<br />  Potência de sucção:630 m3/h<br />  Potência Nominal: 218 W<br />  Saída de ar:150 mm<br />  Potência do motor:1x 215 W<br />  Filtros metálicos<br />  3 níveis de potência<br />  Chaminé dupla<br />  Lâmpadas LED 2x1.5W<br />  Evacuação exterior<br />  Nível de Ruído: 67 dB<br />  Classificação energética: C<br />  Consumo: 91 Kwh/Ano<br />  Dimensões Produto: A440 ~820xL600xP500 mm<br />  Dimensões Embalagem: A600xL570xP380 mm<br />  Inox<br />  <br />  ";59,87;https://www.orima.pt/backoffice/img/front/prods/5603883211164/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883211164/5603883211164.png;C
Frio;"Frigorificos 1 Porta";"Frigorificos 1p Cooler 140-149cm";Orima;285023;5603883207877;2;"Frigorifico Orima ORC-29-W A+ 1 Porta Branc";"Capacidade bruta total: 270 L<br />  Capacidade net do frigorifico: 267 L<br />  5 prateleiras e gaveta de legumes<br />  Porta reversível<br />  Luz interior LED<br />  Descongelação Automática<br />  Prateleiras em vidro<br />  Protecção anti-bacteriana<br />  Suporte de garrafas<br />  Gaveta para frutos e vegetais<br />  Nível de ruído: 41 dB<br />  Consumo anual de energia: 133 kWh<br />  Classificação energética: A+<br />  Dimensões do Produto: A1450xL600xP650 mm<br />  <br />  Disponível nas cores: portas em vidro preto<br />  Possibilidade de side by side com congelador ORF 22 W com Kit união<br />  <br />  <br />  ";183,33;https://www.orima.pt/backoffice/img/front/prods/5603883207877/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883207877/5603883207877.png;A+
Frio;"Frigorificos 1 Porta";"Frigorificos 1p Cooler 140-149cm";Orima;285024;5603883207884;2;"Frigorifico Orima ORC-29-X A+ 1 Porta";"Capacidade bruta total: 270 L<br />  Capacidade net do frigorifico: 267 L<br />  Porta reversível<br />  Luz interior LED<br />  Descongelação Automática<br />  Prateleiras em vidro<br />  Protecção anti-bacteriana<br />  Gaveta para frutos e vegetais<br />  Nível de ruído: 41 dB<br />  Consumo anual de energia: 133 kWh<br />  Classificação energética: A+<br />  Dimensões do Produto: A1450xL600xP650 mm<br />  <br />  Disponível nas cores: branco e inox<br />  Possibilidade de side by side com congelador ORF 22 X A+<br />  <br />  <br />  ";212,43;https://www.orima.pt/backoffice/img/front/prods/5603883207884/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883207884/5603883207884.png;A+
Frio;"Frigorificos 1 Porta";"Frigorificos 1p Cooler 160-169cm";Orima;285032;5603883211911;2;"Frigorifico Orima ORC-32-W";"Capacidade net do frigorifico: 296 L<br />  Porta reversível<br />  Luz interior LED<br />  Descongelação Automática<br />  Prateleiras em vidro<br />  Protecção anti-bacteriana<br />  Gaveta para frutos e vegetais<br />  Nível de ruído: 41 dB<br />  Consumo anual de energia: 166 kWh<br />  Dimensões do Produto: A1630xL600xP620 mm<br />  Classificação energética: G<br />  <br />  <br />  Possibilidade de side by side com congelador ORF 28 W com Kit união<br />  <br />  <br />  <br />  ";217,51;https://www.orima.pt/backoffice/img/front/prods/5603883211911/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883211911/5603883211911.png;G
Frio;"Frigorificos 1 Porta";"Frigorificos 1p Cooler 160-169cm";Orima;285033;5603883211928;2;"Frigorifico Orima ORC-32-X";"Capacidade net do frigorifico: 296 L<br />  Porta reversível<br />  Luz interior LED<br />  Descongelação Automática<br />  Prateleiras em vidro<br />  Protecção anti-bacteriana<br />  Gaveta para frutos e vegetais<br />  Nível de ruído: 41 dB<br />  Consumo anual de energia: 166 kWh<br />  Dimensões do Produto: A1630xL600xP620 mm<br />  Classificação energética: G<br />  <br />  Disponível nas cores: branco e inox<br />  Possibilidade de side by side com congelador ORF 28<br />  <br />  <br />  <br />  <br />  ";229,29;https://www.orima.pt/backoffice/img/front/prods/5603883211928/1.jpg;https://www.orima.pt/backoffice/img/front/prods/5603883211928/5603883211928.png;G
